2025-06-11 14:28:44 | INFO | main:<module>:61 | 🚀 Initializing application in DEBUG mode
2025-06-11 14:28:58 | DEBUG | notion_logger:<module>:37 | Initializing Notion client
2025-06-11 14:28:58 | INFO | enhanced_job_scraper:<module>:35 | ✅ LangChain successfully imported
2025-06-11 14:28:59 | DEBUG | crud:<module>:674 | 🔧 CRUD operations debug module initialized
2025-06-11 14:28:59 | INFO | pipeline_for_5:<module>:82 | 🧠 LangChain modules imported successfully
2025-06-11 14:28:59 | INFO | main:<module>:61 | 🚀 Initializing application in DEBUG mode
2025-06-11 14:29:00 | DEBUG | notion_logger:<module>:37 | Initializing Notion client
2025-06-11 14:29:00 | INFO | enhanced_job_scraper:<module>:35 | ✅ LangChain successfully imported
2025-06-11 14:29:01 | DEBUG | crud:<module>:674 | 🔧 CRUD operations debug module initialized
2025-06-11 14:29:01 | INFO | pipeline_for_5:<module>:82 | 🧠 LangChain modules imported successfully
2025-06-11 14:29:01 | INFO | main:<module>:61 | 🚀 Initializing application in DEBUG mode
2025-06-11 14:29:10 | DEBUG | notion_logger:<module>:37 | Initializing Notion client
2025-06-11 14:29:10 | INFO | enhanced_job_scraper:<module>:35 | ✅ LangChain successfully imported
2025-06-11 14:29:11 | DEBUG | crud:<module>:674 | 🔧 CRUD operations debug module initialized
2025-06-11 14:29:11 | INFO | pipeline_for_5:<module>:82 | 🧠 LangChain modules imported successfully
2025-06-11 14:29:11 | INFO | main:<module>:61 | 🚀 Initializing application in DEBUG mode
2025-06-11 14:29:46 | DEBUG | notion_logger:<module>:37 | Initializing Notion client
2025-06-11 14:29:47 | INFO | enhanced_job_scraper:<module>:35 | ✅ LangChain successfully imported
2025-06-11 14:29:47 | DEBUG | crud:<module>:674 | 🔧 CRUD operations debug module initialized
2025-06-11 14:29:47 | INFO | pipeline_for_5:<module>:82 | 🧠 LangChain modules imported successfully
2025-06-11 14:29:47 | INFO | main:<module>:61 | 🚀 Initializing application in DEBUG mode
2025-06-11 14:30:24 | DEBUG | notion_logger:<module>:37 | Initializing Notion client
2025-06-11 14:30:24 | INFO | enhanced_job_scraper:<module>:35 | ✅ LangChain successfully imported
2025-06-11 14:30:25 | DEBUG | crud:<module>:674 | 🔧 CRUD operations debug module initialized
2025-06-11 14:30:25 | INFO | pipeline_for_5:<module>:82 | 🧠 LangChain modules imported successfully
2025-06-11 14:30:25 | INFO | main:<module>:61 | 🚀 Initializing application in DEBUG mode
2025-06-11 14:31:00 | DEBUG | notion_logger:<module>:37 | Initializing Notion client
2025-06-11 14:31:01 | INFO | enhanced_job_scraper:<module>:35 | ✅ LangChain successfully imported
2025-06-11 14:31:01 | DEBUG | crud:<module>:674 | 🔧 CRUD operations debug module initialized
2025-06-11 14:31:01 | INFO | pipeline_for_5:<module>:82 | 🧠 LangChain modules imported successfully
2025-06-11 14:31:01 | INFO | main:<module>:61 | 🚀 Initializing application in DEBUG mode
2025-06-11 14:31:22 | DEBUG | notion_logger:<module>:37 | Initializing Notion client
2025-06-11 14:31:22 | INFO | enhanced_job_scraper:<module>:35 | ✅ LangChain successfully imported
2025-06-11 14:31:22 | DEBUG | crud:<module>:674 | 🔧 CRUD operations debug module initialized
2025-06-11 14:31:22 | INFO | pipeline_for_5:<module>:82 | 🧠 LangChain modules imported successfully
2025-06-11 14:31:22 | INFO | main:<module>:61 | 🚀 Initializing application in DEBUG mode
2025-06-11 14:36:28 | DEBUG | notion_logger:<module>:37 | Initializing Notion client
2025-06-11 14:36:29 | INFO | enhanced_job_scraper:<module>:35 | ✅ LangChain successfully imported
2025-06-11 14:36:29 | DEBUG | crud:<module>:674 | 🔧 CRUD operations debug module initialized
2025-06-11 14:36:29 | INFO | pipeline_for_5:<module>:82 | 🧠 LangChain modules imported successfully
2025-06-11 14:36:29 | INFO | main:<module>:61 | 🚀 Initializing application in DEBUG mode
