2025-06-12T01:18:41.823350-0500 | DEBUG | job_scraper:extract_company_name:470 | Attempting to extract company name
2025-06-12T01:18:41.823415-0500 | DEBUG | job_scraper:extract_company_name:487 | Extracted company from title pattern: Ironclad
2025-06-12T01:18:41.823517-0500 | DEBUG | debug_utils:wrapper:213 | ✅ COMPLETED app.services.job_scraper.extract_company_name
2025-06-12T01:18:41.823575-0500 | DEBUG | debug_utils:wrapper:214 |    ⏱️ Time: 0.000s
2025-06-12T01:18:41.823631-0500 | DEBUG | debug_utils:wrapper:215 |    🧠 Memory: +0.00MB
2025-06-12T01:18:41.823688-0500 | DEBUG | debug_utils:wrapper:218 |    📤 Result type: str
2025-06-12T01:18:41.823747-0500 | DEBUG | job_scraper:parse_enhanced_search_results:415 | Extracted company: Ironclad
2025-06-12T01:18:41.823848-0500 | DEBUG | debug_utils:wrapper:177 | ⚡ ENTERING app.services.job_scraper.determine_job_source
2025-06-12T01:18:41.823912-0500 | DEBUG | debug_utils:wrapper:179 |    📥 Args: ["'https://jobs.ashbyhq.com/ironcladhq/abfc15f3-c499-40a8-ab65-efb6ff499b90/application'", "'jobs.ashbyhq.com'"]
2025-06-12T01:18:41.823971-0500 | DEBUG | debug_utils:wrapper:180 |    📥 Kwargs: {}
2025-06-12T01:18:41.824027-0500 | DEBUG | job_scraper:determine_job_source:518 | Determining job source from URL: https://jobs.ashbyhq.com/ironcladhq/abfc15f3-c499-40a8-ab65-efb6ff499b90/application
2025-06-12T01:18:41.824086-0500 | DEBUG | job_scraper:determine_job_source:536 | Identified job source: Ashby
2025-06-12T01:18:41.824187-0500 | DEBUG | debug_utils:wrapper:213 | ✅ COMPLETED app.services.job_scraper.determine_job_source
2025-06-12T01:18:41.824250-0500 | DEBUG | debug_utils:wrapper:214 |    ⏱️ Time: 0.000s
2025-06-12T01:18:41.824306-0500 | DEBUG | debug_utils:wrapper:215 |    🧠 Memory: +0.00MB
2025-06-12T01:18:41.824364-0500 | DEBUG | debug_utils:wrapper:218 |    📤 Result type: str
